Date,Likes,Change
"May 18, 2022",229454,0
"May 19, 2022",232695,3241
"May 20, 2022",236653,3958
"May 21, 2022",241252,4599
"May 22, 2022",245779,4527
"May 23, 2022",249155,3376
"May 24, 2022",252501,3346
"May 25, 2022",255694,3193
"May 26, 2022",259618,3924
"May 27, 2022",263381,3763
"May 28, 2022",267402,4021
"May 29, 2022",271356,3954
"May 30, 2022",274434,3078
"May 31, 2022",277673,3239
"Jun 1, 2022",280720,3047
"Jun 2, 2022",283597,2877
"Jun 3, 2022",286659,3062
"Jun 4, 2022",289738,3079
"Jun 5, 2022",293078,3340
"Jun 6, 2022",296326,3248
"Jun 7, 2022",299551,3225
"Jun 8, 2022",303148,3597
"Jun 9, 2022",305920,2772
"Jun 10, 2022",308703,2783
"Jun 11, 2022",311991,3288
"Jun 12, 2022",315224,3233
"Jun 13, 2022",318348,3124
"Jun 14, 2022",321630,3282
"Jun 15, 2022",324846,3216
"Jun 16, 2022",328579,3733
"Jun 17, 2022",332214,3635
"Jun 18, 2022",335598,3384
"Jun 19, 2022",339380,3782
"Jun 20, 2022",342602,3222
"Jun 21, 2022",346422,3820
"Jun 22, 2022",349901,3479
"Jun 23, 2022",352990,3089
"Jun 24, 2022",356437,3447
"Jun 25, 2022",360629,4192
"Jun 26, 2022",365204,4575
"Jun 27, 2022",368843,3639
"Jun 28, 2022",372156,3313
"Jun 29, 2022",375398,3242
"Jun 30, 2022",378688,3290
"Jul 1, 2022",381914,3226
"Jul 2, 2022",385384,3470
"Jul 3, 2022",390307,4923
"Jul 4, 2022",393647,3340
"Jul 5, 2022",396868,3221
"Jul 6, 2022",400398,3530
"Jul 7, 2022",404076,3678
"Jul 8, 2022",408025,3949
"Jul 9, 2022",413698,5673
"Jul 10, 2022",419162,5464
"Jul 11, 2022",423442,4280
"Jul 12, 2022",426760,3318
"Jul 13, 2022",430845,4085
"Jul 14, 2022",435255,4410
"Jul 15, 2022",439235,3980
"Jul 16, 2022",444026,4791
"Jul 17, 2022",449027,5001
"Jul 18, 2022",452898,3871
"Jul 19, 2022",456706,3808
"Jul 20, 2022",460827,4121
"Jul 21, 2022",465017,4190
"Jul 22, 2022",468625,3608
"Jul 23, 2022",472525,3900
"Jul 24, 2022",477133,4608
"Jul 25, 2022",480464,3331
"Jul 26, 2022",483504,3040
"Jul 27, 2022",486597,3093
"Jul 28, 2022",490487,3890
"Jul 29, 2022",495089,4602
"Jul 30, 2022",499931,4842
"Jul 31, 2022",505071,5140
"Aug 1, 2022",508335,3264
"Aug 2, 2022",511909,3574
"Aug 3, 2022",515400,3491
"Aug 4, 2022",518643,3243
"Aug 5, 2022",521802,3159
"Aug 6, 2022",525317,3515
"Aug 7, 2022",528869,3552
"Aug 8, 2022",531336,2467
"Aug 9, 2022",533739,2403
"Aug 10, 2022",536114,2375
"Aug 11, 2022",538939,2825
"Aug 12, 2022",541535,2596
"Aug 13, 2022",544078,2543
"Aug 14, 2022",547059,2981
"Aug 15, 2022",549246,2187
"Aug 16, 2022",551244,1998
"Aug 17, 2022",552766,1522
"Aug 18, 2022",554210,1444
"Aug 19, 2022",556171,1961
"Aug 20, 2022",558136,1965
"Aug 21, 2022",560156,2020
"Aug 22, 2022",561310,1154
"Aug 23, 2022",562538,1228
"Aug 24, 2022",563860,1322
"Aug 25, 2022",565078,1218
"Aug 26, 2022",566450,1372
"Aug 27, 2022",568050,1600
"Aug 28, 2022",569620,1570
"Aug 29, 2022",570756,1136
"Aug 30, 2022",572165,1409
"Aug 31, 2022",573549,1384
"Sep 1, 2022",574882,1333
"Sep 2, 2022",576451,1569
"Sep 3, 2022",578086,1635
"Sep 4, 2022",579805,1719
"Sep 5, 2022",581149,1344
"Sep 6, 2022",582353,1204
"Sep 7, 2022",583560,1207
"Sep 8, 2022",585069,1509
"Sep 9, 2022",586674,1605
"Sep 10, 2022",588483,1809
"Sep 11, 2022",590443,1960
"Sep 12, 2022",591687,1244
"Sep 13, 2022",593000,1313
"Sep 14, 2022",594437,1437
"Sep 15, 2022",595878,1441
"Sep 16, 2022",597427,1549
"Sep 17, 2022",599134,1707
"Sep 18, 2022",600729,1595
"Sep 19, 2022",601959,1230
"Sep 20, 2022",603259,1300
"Sep 21, 2022",604691,1432
"Sep 22, 2022",605952,1261
"Sep 23, 2022",607358,1406
"Sep 24, 2022",608797,1439
"Sep 25, 2022",610243,1446
"Sep 26, 2022",611317,1074
"Sep 27, 2022",612364,1047
"Sep 28, 2022",613436,1072
"Sep 29, 2022",614530,1094
"Sep 30, 2022",615688,1158
"Oct 1, 2022",616959,1271
"Oct 2, 2022",618285,1326
"Oct 3, 2022",619443,1158
"Oct 4, 2022",620508,1065
"Oct 5, 2022",621616,1108
"Oct 6, 2022",622576,960
"Oct 7, 2022",623500,924
"Oct 8, 2022",624577,1077
"Oct 9, 2022",625763,1186
"Oct 10, 2022",626591,828
"Oct 11, 2022",627333,742
"Oct 12, 2022",628161,828
"Oct 13, 2022",628934,773
"Oct 14, 2022",629566,632
"Oct 15, 2022",630480,914
"Oct 16, 2022",631487,1007
"Oct 17, 2022",632131,644
"Oct 18, 2022",632793,662
"Oct 19, 2022",633492,699
"Oct 20, 2022",634213,721
"Oct 21, 2022",635106,893
"Oct 22, 2022",636097,991
"Oct 23, 2022",637091,994
"Oct 24, 2022",637981,890
"Oct 25, 2022",638820,839
"Oct 26, 2022",639796,976
"Oct 27, 2022",640740,944
"Oct 28, 2022",641596,856
"Oct 29, 2022",642559,963
"Oct 30, 2022",643289,730
"Oct 31, 2022",643985,696
"Nov 1, 2022",644637,652
"Nov 2, 2022",645243,606
"Nov 3, 2022",645848,605
"Nov 4, 2022",647024,1176
"Nov 5, 2022",648199,1175
"Nov 6, 2022",648219,20
"Nov 7, 2022",648869,650
"Nov 8, 2022",649615,746
"Nov 9, 2022",650201,586
"Nov 10, 2022",650798,597
"Nov 11, 2022",651459,661
"Nov 12, 2022",652280,821
"Nov 13, 2022",653118,838
"Nov 14, 2022",653693,575
"Nov 15, 2022",654204,511
"Nov 16, 2022",654853,649
"Nov 17, 2022",655419,566
"Nov 18, 2022",655978,559
"Nov 19, 2022",656583,605
"Nov 20, 2022",657284,701
"Nov 21, 2022",657841,557
"Nov 22, 2022",658312,471
"Nov 23, 2022",658831,519
"Nov 24, 2022",659365,534
"Nov 25, 2022",659921,556
"Nov 26, 2022",660618,697
"Nov 27, 2022",661417,799
"Nov 28, 2022",661998,581
"Nov 29, 2022",662674,676
"Nov 30, 2022",663306,632
"Dec 1, 2022",663941,635
"Dec 2, 2022",664513,572
"Dec 3, 2022",665190,677
"Dec 4, 2022",665912,722
"Dec 5, 2022",666435,523
"Dec 6, 2022",667019,584
"Dec 7, 2022",667531,512
"Dec 8, 2022",668101,570
"Dec 9, 2022",668799,698
"Dec 10, 2022",669615,816
"Dec 11, 2022",670492,877
"Dec 12, 2022",671094,602
"Dec 13, 2022",671849,755
"Dec 14, 2022",672689,840
"Dec 15, 2022",673606,917
"Dec 16, 2022",674725,1119
"Dec 17, 2022",675809,1084
"Dec 18, 2022",676897,1088
"Dec 19, 2022",677679,782
"Dec 20, 2022",678338,659
"Dec 21, 2022",679080,742
"Dec 22, 2022",679845,765
"Dec 23, 2022",680516,671
"Dec 24, 2022",681373,857
"Dec 25, 2022",682399,1026
"Dec 26, 2022",683240,841
"Dec 27, 2022",684088,848
"Dec 28, 2022",685028,940
"Dec 29, 2022",685992,964
"Dec 30, 2022",686914,922
"Dec 31, 2022",688142,1228
"Jan 1, 2023",689148,1006
"Jan 2, 2023",689880,732
"Jan 3, 2023",690666,786
"Jan 4, 2023",691540,874
"Jan 5, 2023",692315,775
"Jan 6, 2023",693041,726
