Date,Total Views,Change
"Feb 6, 2022",0,0
"Feb 7, 2022",570218,570218
"Feb 8, 2022",1179781,609563
"Feb 9, 2022",1815415,635634
"Feb 10, 2022",2456947,641532
"Feb 11, 2022",3082878,625931
"Feb 12, 2022",3676869,593991
"Feb 13, 2022",4230493,553624
"Feb 14, 2022",4741951,511458
"Feb 15, 2022",5213356,471405
"Feb 16, 2022",5648521,435165
"Feb 17, 2022",6051663,403142
"Feb 18, 2022",6426782,375119
"Feb 19, 2022",6777437,350655
"Feb 20, 2022",7106695,329258
"Feb 21, 2022",7417167,310472
"Feb 22, 2022",7711060,293893
"Feb 23, 2022",7990246,279186
"Feb 24, 2022",8256314,266068
"Feb 25, 2022",8510618,254304
"Feb 26, 2022",8754321,243703
"Feb 27, 2022",8988423,234102
"Feb 28, 2022",9213792,225369
"Mar 1, 2022",9431184,217392
"Mar 2, 2022",9641260,210076
"Mar 3, 2022",9844604,203344
"Mar 4, 2022",10041730,197126
"Mar 5, 2022",10233097,191367
"Mar 6, 2022",10419111,186014
"Mar 7, 2022",10600139,181028
"Mar 8, 2022",10776509,176370
"Mar 9, 2022",10948518,172009
"Mar 10, 2022",11116434,167916
"Mar 11, 2022",11280501,164067
"Mar 12, 2022",11440940,160439
"Mar 13, 2022",11597955,157015
"Mar 14, 2022",11751732,153777
"Mar 15, 2022",11902440,150708
"Mar 16, 2022",12050237,147797
"Mar 17, 2022",12195268,145031
"Mar 18, 2022",12337667,142399
"Mar 19, 2022",12477557,139890
"Mar 20, 2022",12615054,137497
"Mar 21, 2022",12750265,135211
"Mar 22, 2022",12883289,133024
"Mar 23, 2022",13014221,130932
"Mar 24, 2022",13143146,128925
"Mar 25, 2022",13270147,127001
"Mar 26, 2022",13395300,125153
"Mar 27, 2022",13518677,123377
"Mar 28, 2022",13640344,121667
"Mar 29, 2022",13760367,120023
"Mar 30, 2022",13878804,118437
"Mar 31, 2022",13995713,116909
"Apr 1, 2022",14111147,115434
"Apr 2, 2022",14225155,114008
"Apr 3, 2022",14337787,112632
"Apr 4, 2022",14449088,111301
"Apr 5, 2022",14559100,110012
"Apr 6, 2022",14667865,108765
"Apr 7, 2022",14775422,107557
"Apr 8, 2022",14881807,106385
"Apr 9, 2022",14987055,105248
"Apr 10, 2022",15091202,104147
"Apr 11, 2022",15194278,103076
"Apr 12, 2022",15296314,102036
"Apr 13, 2022",15397339,101025
"Apr 14, 2022",15497382,100043
"Apr 15, 2022",15596469,99087
"Apr 16, 2022",15694626,98157
"Apr 17, 2022",15791877,97251
"Apr 18, 2022",15888246,96369
"Apr 19, 2022",15983756,95510
"Apr 20, 2022",16078428,94672
"Apr 21, 2022",16172283,93855
"Apr 22, 2022",16265342,93059
"Apr 23, 2022",16357622,92280
"Apr 24, 2022",16449144,91522
"Apr 25, 2022",16539925,90781
"Apr 26, 2022",16629981,90056
"Apr 27, 2022",16719330,89349
"Apr 28, 2022",16807988,88658
"Apr 29, 2022",16895969,87981
"Apr 30, 2022",16983290,87321
"May 1, 2022",17069963,86673
"May 2, 2022",17156004,86041
"May 3, 2022",17241425,85421
"May 4, 2022",17326239,84814
"May 5, 2022",17410460,84221
"May 6, 2022",17494098,83638
"May 7, 2022",17577166,83068
"May 8, 2022",17659676,82510
"May 9, 2022",17741637,81961
"May 10, 2022",17823062,81425
"May 11, 2022",17903959,80897
"May 12, 2022",17984340,80381
"May 13, 2022",18064214,79874
"May 14, 2022",18143590,79376
"May 15, 2022",18222478,78888
"May 16, 2022",18300886,78408
"May 17, 2022",18378824,77938
"May 18, 2022",18456298,77474
"May 18, 2022",18533319,77021
"May 19, 2022",18878231,344912
"May 20, 2022",19260621,382390
"May 21, 2022",19699014,438393
"May 22, 2022",20125633,426619
"May 23, 2022",20479485,353852
"May 24, 2022",20830067,350582
"May 25, 2022",21182238,352171
"May 26, 2022",21575033,392795
"May 27, 2022",21969445,394412
