Date,Spotify Streams,Change
"Feb 8, 2023",84678,0
"Feb 9, 2023",84678,0
"Feb 10, 2023",84678,0
"Feb 11, 2023",247979,163301
"Feb 12, 2023",408153,160174
"Feb 13, 2023",557339,149186
"Feb 14, 2023",707056,149717
"Feb 15, 2023",898154,191098
"Feb 16, 2023",1218007,319853
"Feb 17, 2023",1544484,326477
"Feb 18, 2023",1863220,318736
"Feb 19, 2023",2145616,282396
"Feb 20, 2023",2429900,284284
"Feb 21, 2023",2429900,0
"Feb 22, 2023",3002573,572673
"Feb 23, 2023",3293082,290509
"Feb 24, 2023",3587146,294064
"Feb 25, 2023",3884373,297227
"Feb 26, 2023",4179399,295026
"Feb 27, 2023",4453909,274510
"Feb 28, 2023",4720511,266602
"Mar 1, 2023",4986299,265788
"Mar 2, 2023",5248210,261911
"Mar 3, 2023",5504878,256668
"Mar 4, 2023",5764435,259557
"Mar 5, 2023",6020993,256558
"Mar 6, 2023",6238307,217314
"Mar 7, 2023",6450832,212525
"Mar 8, 2023",6643697,192865
"Mar 9, 2023",6823509,179812
"Mar 10, 2023",7020090,196581
"Mar 11, 2023",7219600,199510
"Mar 12, 2023",7422757,203157
"Mar 13, 2023",7620259,197502
"Mar 14, 2023",7814709,194450
"Mar 15, 2023",8012479,197770
"Mar 16, 2023",8203546,191067
"Mar 17, 2023",8404775,201229
"Mar 18, 2023",8621941,217166
"Mar 19, 2023",8844434,222493
"Mar 20, 2023",9056227,211793
"Mar 21, 2023",9263321,207094
"Mar 22, 2023",9467173,203852
"Mar 23, 2023",9647722,180549
"Mar 24, 2023",9829434,181712
"Mar 25, 2023",9999178,169744
"Mar 26, 2023",10166967,167789
"Mar 27, 2023",10325266,158299
"Mar 28, 2023",10477540,152274
"Mar 29, 2023",10627835,150295
"Mar 30, 2023",10779086,151251
"Mar 31, 2023",10921899,142813
"Apr 1, 2023",11074479,152580
"Apr 2, 2023",11232260,157781
"Apr 3, 2023",11386853,154593
"Apr 4, 2023",11537412,150559
"Apr 5, 2023",11687028,149616
"Apr 6, 2023",11836950,149922
"Apr 7, 2023",11988750,151800
"Apr 8, 2023",12145972,157222
"Apr 9, 2023",12301454,155482
"Apr 10, 2023",12451576,150122
"Apr 11, 2023",12594567,142991
"Apr 12, 2023",12738253,143686
"Apr 13, 2023",12889235,150982
"Apr 14, 2023",13043303,154068
"Apr 15, 2023",13199179,155876
"Apr 16, 2023",13356141,156962
"Apr 17, 2023",13505791,149650
"Apr 18, 2023",13650283,144492
"Apr 19, 2023",13804549,154266
"Apr 20, 2023",13963263,158714
"Apr 21, 2023",14121575,158312
"Apr 22, 2023",14281994,160419
"Apr 23, 2023",14439823,157829
"Apr 24, 2023",14590519,150696
"Apr 25, 2023",14739851,149332
"Apr 26, 2023",14895164,155313
"Apr 27, 2023",15049927,154763
"Apr 28, 2023",15200179,150252
"Apr 29, 2023",15348372,148193
"Apr 30, 2023",15504800,156428
"May 1, 2023",15654224,149424
"May 2, 2023",15794971,140747
"May 3, 2023",15939478,144507
"May 4, 2023",16086963,147485
"May 5, 2023",16237284,150321
"May 6, 2023",16393126,155842
"May 7, 2023",16549544,156418
"May 8, 2023",16702594,153050
"May 9, 2023",16849436,146842
"May 10, 2023",16992774,143338
"May 11, 2023",17138046,145272
"May 12, 2023",17138046,0
"May 13, 2023",17471823,333777
"May 14, 2023",17661043,189220
"May 15, 2023",17840093,179050
"May 16, 2023",18014596,174503
"May 17, 2023",18193190,178594
"May 18, 2023",18373453,180263
"May 19, 2023",18549708,176255
"May 20, 2023",18724831,175123
"May 21, 2023",18904013,179182
"May 22, 2023",19068994,164981
"May 23, 2023",19229991,160997
"May 24, 2023",19385087,155096
"May 25, 2023",19542247,157160
"May 26, 2023",19692918,150671
"May 27, 2023",19841000,148082
"May 28, 2023",20000699,159699
"May 29, 2023",20151725,151026
"May 30, 2023",20292462,140737
"May 31, 2023",20438930,146468
"Jun 1, 2023",20593086,154156
"Jun 2, 2023",20759358,166272
"Jun 3, 2023",20922055,162697
"Jun 4, 2023",21088973,166918
"Jun 5, 2023",21243798,154825
"Jun 6, 2023",21389697,145899
"Jun 7, 2023",21541037,151340
"Jun 8, 2023",21703321,162284
"Jun 9, 2023",21863502,160181
"Jun 10, 2023",22015295,151793
"Jun 11, 2023",22174874,159579
"Jun 12, 2023",22324510,149636
"Jun 13, 2023",22472376,147866
"Jun 14, 2023",22621531,149155
"Jun 15, 2023",22768726,147195
"Jun 16, 2023",22912823,144097
"Jun 17, 2023",23054616,141793
"Jun 18, 2023",23205102,150486
"Jun 19, 2023",23343054,137952
"Jun 20, 2023",23481005,137952
"Jun 21, 2023",23618957,137952
"Jun 22, 2023",23756909,137952
"Jun 23, 2023",23894860,137952
"Jun 24, 2023",24032812,137952
"Jun 25, 2023",24170764,137952
"Jun 26, 2023",24308715,137952
"Jun 27, 2023",24446667,137952
"Jun 28, 2023",24573889,127222
"Jun 29, 2023",24699082,125193
"Jun 30, 2023",24818764,119682
"Jul 1, 2023",24946358,127594
"Jul 2, 2023",25080507,134149
"Jul 3, 2023",25199710,119203
"Jul 4, 2023",25318913,119203
"Jul 5, 2023",25438115,119203
"Jul 6, 2023",25557318,119203
"Jul 7, 2023",25655973,98655
"Jul 8, 2023",25756866,100893
"Jul 9, 2023",25861161,104295
"Jul 10, 2023",25961128,99967
"Jul 11, 2023",26056300,95172
"Jul 12, 2023",26152409,96109
"Jul 13, 2023",26250595,98186
"Jul 14, 2023",26345758,95163
"Jul 15, 2023",26440006,94248
"Jul 16, 2023",26535798,95792
"Jul 17, 2023",26631713,95915
"Jul 18, 2023",26721295,89582
"Jul 19, 2023",26810538,89243
"Jul 20, 2023",26899884,89346
"Jul 21, 2023",26991072,91188
"Jul 22, 2023",27080717,89645
"Jul 23, 2023",27174747,94030
"Jul 24, 2023",27265386,90639
"Jul 25, 2023",27353810,88424
"Jul 26, 2023",27443105,89295
"Jul 27, 2023",27531915,88810
"Jul 28, 2023",27617967,86052
"Jul 29, 2023",27700476,82509
"Jul 30, 2023",27784267,83791
"Jul 31, 2023",27868058,83791
"Aug 1, 2023",27948859,80801
"Aug 2, 2023",28028576,79717
"Aug 3, 2023",28109333,80757
"Aug 4, 2023",28187019,77686
"Aug 5, 2023",28262627,75608
"Aug 6, 2023",28340101,77474
"Aug 7, 2023",28414068,73967
"Aug 8, 2023",28487286,73218
"Aug 9, 2023",28568522,81236
"Aug 10, 2023",28645949,77427
"Aug 11, 2023",28717337,71388
"Aug 12, 2023",28789572,72235
"Aug 13, 2023",28865780,76208
"Aug 14, 2023",28937433,71653
"Aug 15, 2023",29005928,68495
"Aug 16, 2023",29067740,61812
"Aug 17, 2023",29133592,65852
"Aug 18, 2023",29202239,68647
"Aug 19, 2023",29267260,65021
"Aug 20, 2023",29337198,69938
"Aug 21, 2023",29405311,68113
"Aug 22, 2023",29471546,66235
"Aug 23, 2023",29544473,72927
"Aug 24, 2023",29612896,68423
"Aug 25, 2023",29681084,68188
"Aug 26, 2023",29751377,70293
"Aug 27, 2023",29822928,71551
"Aug 28, 2023",29894149,71221
"Aug 29, 2023",29963995,69846
"Aug 30, 2023",30035111,71116
"Aug 31, 2023",30104132,69021
"Sep 1, 2023",30169285,65153
"Sep 2, 2023",30235654,66369
"Sep 3, 2023",30303924,68270
"Sep 4, 2023",30374659,70735
"Sep 5, 2023",30438625,63966
"Sep 6, 2023",30504025,65400
"Sep 7, 2023",30573422,69397
"Sep 8, 2023",30641863,68441
"Sep 9, 2023",30713860,71997
"Sep 10, 2023",30791106,77246
