Date,Total Views,Change
"Oct 5, 2023",0,0
"Oct 6, 2023",953,953
"Oct 7, 2023",1436,483
"Oct 8, 2023",1810,374
"Oct 9, 2023",2161,351
"Oct 10, 2023",2526,365
"Oct 11, 2023",2921,395
"Oct 12, 2023",3354,433
"Oct 13, 2023",3830,476
"Oct 14, 2023",4352,522
"Oct 15, 2023",4920,568
"Oct 16, 2023",5536,616
"Oct 17, 2023",6198,662
"Oct 18, 2023",6907,709
"Oct 19, 2023",7663,756
"Oct 19, 2023",8464,801
"Oct 20, 2023",9132,668
"Oct 21, 2023",9800,668
"Oct 22, 2023",10492,692
"Oct 23, 2023",11183,691
"Oct 24, 2023",11738,555
"Oct 25, 2023",12293,555
"Oct 26, 2023",12789,496
"Oct 27, 2023",13285,496
"Oct 28, 2023",13829,544
"Oct 29, 2023",14373,544
"Oct 30, 2023",14904,531
"Oct 31, 2023",15435,531
"Nov 1, 2023",16008,573
"Nov 2, 2023",16580,572
"Nov 3, 2023",17201,621
"Nov 4, 2023",17822,621
"Nov 5, 2023",18519,697
"Nov 6, 2023",19216,697
"Nov 7, 2023",19815,599
"Nov 8, 2023",20413,598
"Nov 9, 2023",21123,710
"Nov 10, 2023",21833,710
"Nov 11, 2023",22542,709
"Nov 12, 2023",23251,709
"Nov 13, 2023",23983,732
"Nov 14, 2023",24715,732
"Nov 15, 2023",25500,785
"Nov 16, 2023",26284,784
"Nov 17, 2023",27131,847
"Nov 18, 2023",27978,847
"Nov 19, 2023",28690,712
"Nov 20, 2023",29402,712
"Nov 21, 2023",30177,775
"Nov 22, 2023",30951,774
"Nov 23, 2023",31788,837
"Nov 24, 2023",32624,836
"Nov 25, 2023",33612,988
"Nov 26, 2023",34599,987
"Nov 27, 2023",35568,969
"Nov 28, 2023",36537,969
"Nov 29, 2023",37490,953
"Nov 30, 2023",38443,953
"Dec 1, 2023",39429,986
"Dec 2, 2023",40414,985
"Dec 3, 2023",41270,856
"Dec 4, 2023",42125,855
"Dec 5, 2023",42906,781
"Dec 6, 2023",43687,781
"Dec 7, 2023",44539,852
"Dec 8, 2023",45391,852
"Dec 9, 2023",46376,985
"Dec 10, 2023",47360,984
"Dec 11, 2023",48146,786
"Dec 12, 2023",48931,785
"Dec 13, 2023",49776,845
"Dec 14, 2023",50620,844
"Dec 15, 2023",51459,839
"Dec 16, 2023",52298,839
"Dec 17, 2023",53154,856
"Dec 18, 2023",54009,855
"Dec 19, 2023",54792,783
"Dec 20, 2023",55575,783
"Dec 21, 2023",56316,741
"Dec 22, 2023",57057,741
"Dec 23, 2023",57877,820
"Dec 24, 2023",58696,819
"Dec 25, 2023",59442,746
"Dec 26, 2023",60188,746
"Dec 27, 2023",60876,688
"Dec 28, 2023",61564,688
"Dec 29, 2023",62169,605
"Dec 30, 2023",62774,605
"Dec 31, 2023",63481,707
"Jan 1, 2024",64188,707
"Jan 2, 2024",64544,356
"Jan 3, 2024",64899,355
"Jan 4, 2024",65331,432
"Jan 5, 2024",65762,431
"Jan 6, 2024",66219,457
"Jan 7, 2024",66675,456
"Jan 8, 2024",67110,435
"Jan 9, 2024",67545,435
"Jan 10, 2024",67996,451
"Jan 11, 2024",68447,451
"Jan 12, 2024",68937,490
"Jan 13, 2024",69426,489
"Jan 14, 2024",69829,403
"Jan 15, 2024",70232,403
"Jan 16, 2024",70607,375
"Jan 17, 2024",70981,374
"Jan 18, 2024",71389,408
"Jan 19, 2024",71797,408
"Jan 20, 2024",72216,419
"Jan 21, 2024",72635,419
"Jan 22, 2024",73028,393
"Jan 23, 2024",73420,392
"Jan 24, 2024",73810,390
"Jan 25, 2024",74200,390
"Jan 26, 2024",74569,369
"Jan 27, 2024",74938,369
"Jan 28, 2024",75303,365
"Jan 29, 2024",75667,364
"Jan 30, 2024",76009,342
"Jan 31, 2024",76350,341
"Feb 1, 2024",76680,330
"Feb 2, 2024",77010,330
"Feb 3, 2024",77354,344
"Feb 4, 2024",77697,343
"Feb 5, 2024",78012,315
"Feb 6, 2024",78326,314
"Feb 7, 2024",78628,302
"Feb 8, 2024",78930,302
"Feb 9, 2024",79255,325
"Feb 10, 2024",79579,324
"Feb 11, 2024",79950,371
"Feb 12, 2024",80320,370
"Feb 13, 2024",80662,342
"Feb 14, 2024",81003,341
"Feb 15, 2024",81322,319
"Feb 16, 2024",81641,319
"Feb 17, 2024",82060,419
"Feb 18, 2024",82479,419
"Feb 19, 2024",82837,358
"Feb 20, 2024",83195,358
"Feb 21, 2024",83589,394
"Feb 22, 2024",83983,394
"Feb 23, 2024",84402,419
"Feb 24, 2024",84820,418
"Feb 25, 2024",85207,387
"Feb 26, 2024",85594,387
"Feb 27, 2024",85992,398
"Feb 28, 2024",86390,398
"Feb 29, 2024",86808,418
"Mar 1, 2024",87225,417
"Mar 2, 2024",87611,386
"Mar 3, 2024",87997,386
"Mar 4, 2024",88429,432
"Mar 5, 2024",88860,431
"Mar 6, 2024",89251,391
"Mar 7, 2024",89642,391
"Mar 8, 2024",90155,513
"Mar 9, 2024",90668,513
"Mar 10, 2024",90987,319
"Mar 11, 2024",91306,319
"Mar 12, 2024",91613,307
"Mar 13, 2024",91919,306
"Mar 14, 2024",92224,305
"Mar 15, 2024",92529,305
"Mar 16, 2024",92876,347
"Mar 17, 2024",93222,346
"Mar 18, 2024",93492,270
"Mar 19, 2024",93762,270
"Mar 20, 2024",94080,318
"Mar 21, 2024",94398,318
"Mar 22, 2024",94714,316
"Mar 23, 2024",95030,316
"Mar 24, 2024",95289,259
"Mar 25, 2024",95547,258
"Mar 26, 2024",95806,259
"Mar 27, 2024",96065,259
"Mar 28, 2024",96314,249
"Mar 29, 2024",96562,248
"Mar 30, 2024",96811,249
"Mar 31, 2024",97060,249
"Apr 1, 2024",97316,256
"Apr 2, 2024",97572,256
"Apr 3, 2024",97848,276
"Apr 4, 2024",98123,275
"Apr 5, 2024",98446,323
"Apr 6, 2024",98768,322
"Apr 7, 2024",99028,260
"Apr 8, 2024",99287,259
"Apr 9, 2024",99577,290
"Apr 10, 2024",99867,290
"Apr 11, 2024",100185,318
"Apr 12, 2024",100502,317
"Apr 13, 2024",100799,297
"Apr 14, 2024",101095,296
"Apr 15, 2024",101349,254
"Apr 16, 2024",101602,253
"Apr 17, 2024",101858,256
"Apr 18, 2024",102114,256
"Apr 19, 2024",102379,265
"Apr 20, 2024",102643,264
"Apr 21, 2024",102907,264
"Apr 22, 2024",103171,264
"Apr 23, 2024",103468,297
"Apr 24, 2024",103764,296
"Apr 25, 2024",104029,265
"Apr 26, 2024",104293,264
"Apr 27, 2024",104540,247
"Apr 28, 2024",104787,247
"Apr 29, 2024",105064,277
"Apr 30, 2024",105340,276
"May 1, 2024",105649,309
"May 2, 2024",105957,308
"May 3, 2024",106226,269
"May 4, 2024",106494,268
"May 5, 2024",106747,253
"May 6, 2024",107000,253
"May 7, 2024",107257,257
"May 8, 2024",107513,256
"May 9, 2024",107736,223
"May 10, 2024",107959,223
"May 11, 2024",108176,217
"May 12, 2024",108392,216
"May 13, 2024",108618,226
"May 14, 2024",108843,225
"May 15, 2024",109065,222
"May 16, 2024",109287,222
"May 17, 2024",109540,253
"May 18, 2024",109793,253
"May 19, 2024",110013,220
"May 20, 2024",110233,220
"May 21, 2024",110424,191
"May 22, 2024",110614,190
"May 23, 2024",110806,192
"May 24, 2024",110998,192
"May 25, 2024",111201,203
