Date,Spotify Streams,Change
"Sep 18, 2022",0,0
"Sep 19, 2022",26638,0
"Sep 20, 2022",27632,0
"Sep 21, 2022",27632,0
"Sep 22, 2022",122302,94670
"Sep 23, 2022",172859,50557
"Sep 24, 2022",240737,67878
"Sep 25, 2022",310548,69811
"Sep 26, 2022",383610,73062
"Sep 27, 2022",453441,69831
"Sep 28, 2022",525449,72008
"Sep 29, 2022",598725,73276
"Sep 30, 2022",668377,69652
"Oct 1, 2022",734558,66181
"Oct 2, 2022",794932,60374
"Oct 3, 2022",852856,57924
"Oct 4, 2022",909069,56213
"Oct 5, 2022",964992,55923
"Oct 6, 2022",1024151,59159
"Oct 7, 2022",1083091,58940
"Oct 8, 2022",1145083,61992
"Oct 9, 2022",1208184,63101
"Oct 10, 2022",1270260,62076
"Oct 11, 2022",1329318,59058
"Oct 12, 2022",1385505,56187
"Oct 13, 2022",1439279,53774
"Oct 14, 2022",1492533,53254
"Oct 15, 2022",1545003,52470
"Oct 16, 2022",1600623,55620
"Oct 17, 2022",1655927,55304
"Oct 18, 2022",1705878,49951
"Oct 19, 2022",1757279,51401
"Oct 20, 2022",1810424,53145
"Oct 21, 2022",1860791,50367
"Oct 22, 2022",1911397,50606
"Oct 23, 2022",1962748,51351
"Oct 24, 2022",2010762,48014
"Oct 25, 2022",2052724,41962
"Oct 26, 2022",2090533,37809
"Oct 27, 2022",2128856,38323
"Oct 28, 2022",2166924,38068
"Oct 29, 2022",2205977,39053
"Oct 30, 2022",2244560,38583
"Oct 31, 2022",2281684,37124
"Nov 1, 2022",2317478,35794
"Nov 2, 2022",2353417,35939
"Nov 3, 2022",2388989,35572
"Nov 4, 2022",2424794,35805
"Nov 5, 2022",2460989,36195
"Nov 6, 2022",2497174,36185
"Nov 7, 2022",2533105,35931
"Nov 8, 2022",2567945,34840
"Nov 9, 2022",2605666,37721
"Nov 10, 2022",2640212,34546
"Nov 11, 2022",2674188,33976
"Nov 12, 2022",2709206,35018
"Nov 13, 2022",2744015,34809
"Nov 14, 2022",2777349,33334
"Nov 15, 2022",2808021,30672
"Nov 16, 2022",2839193,31172
"Nov 17, 2022",2870084,30891
"Nov 18, 2022",2900286,30202
"Nov 19, 2022",2927368,27082
"Nov 20, 2022",2955048,27680
"Nov 21, 2022",2982821,27773
"Nov 22, 2022",3008370,25549
"Nov 23, 2022",3034604,26234
"Nov 24, 2022",3060820,26216
"Nov 25, 2022",3087134,26314
"Nov 26, 2022",3112435,25301
"Nov 27, 2022",3138485,26050
"Nov 28, 2022",3163594,25109
"Nov 29, 2022",3187030,23436
"Nov 30, 2022",3210259,23229
"Dec 1, 2022",3233236,22977
"Dec 2, 2022",3256213,22977
"Dec 3, 2022",3279191,22977
"Dec 4, 2022",3302168,22977
"Dec 5, 2022",3325145,22977
"Dec 6, 2022",3346493,21348
"Dec 7, 2022",3367604,21111
"Dec 8, 2022",3387593,19989
"Dec 9, 2022",3407036,19443
"Dec 10, 2022",3426930,19894
"Dec 11, 2022",3448284,21354
"Dec 12, 2022",3466899,18615
"Dec 13, 2022",3483997,17098
"Dec 14, 2022",3501941,17944
"Dec 15, 2022",3519791,17850
"Dec 16, 2022",3537483,17692
"Dec 17, 2022",3556497,19014
"Dec 18, 2022",3575474,18977
"Dec 19, 2022",3593337,17863
"Dec 20, 2022",3610806,17469
"Dec 21, 2022",3627403,16597
"Dec 22, 2022",3644344,16941
"Dec 23, 2022",3661679,17335
"Dec 24, 2022",3677936,16257
