Date,Total Streams,Change
2016-10-25,0,
2016-11-16,908660,908660.0
2016-12-16,1734981,826321.0
2017-01-16,2353629,618648.0
2017-02-16,2838523,484894.0
2017-03-16,3202336,363813.0
2017-04-16,3548205,345869.0
2017-05-16,3841622,293417.0
2017-06-16,4113516,271894.0
2017-07-16,4354112,240596.0
2017-08-16,4585513,231401.0
2017-09-16,4804178,218665.0
2017-10-16,5007285,203107.0
2017-11-16,5211435,204150.0
2017-12-16,5405914,194479.0
2018-01-16,5605885,199971.0
2018-02-16,5806796,200911.0
2018-03-16,5990528,183732.0
2018-04-16,6197909,207381.0
2018-05-16,6403887,205978.0
2018-06-16,6623505,219618.0
2018-07-16,6843779,220274.0
2018-08-16,7080572,236793.0
2018-09-16,7327848,247276.0
2018-10-16,7578202,250354.0
2018-11-16,7849419,271217.0
2018-12-16,8125046,275627.0
2019-01-16,8424552,299506.0
2019-02-16,8740120,315568.0
2019-03-16,9039922,299802.0
2019-04-16,9389305,349383.0
2019-05-16,9746016,356711.0
2019-06-16,10135091,389075.0
2019-07-16,10532689,397598.0
2019-08-16,10966703,434014.0
2019-09-16,11425756,459053.0
2019-10-16,11895356,469600.0
2019-11-16,12408488,513132.0
2019-12-16,12933776,525288.0
2020-01-16,13508189,574413.0
2020-02-16,14116892,608703.0
2020-03-16,14719473,602581.0
2020-04-16,15401518,682045.0
2020-05-16,16101505,699987.0
2020-06-16,16869200,767695.0
2020-07-16,17658385,789185.0
2020-08-16,18525551,867166.0
2020-09-16,19449699,924148.0
2020-10-16,20403121,953422.0
2020-11-16,21455110,1051989.0
2020-12-16,22544142,1089032.0
2021-01-16,23750562,1206420.0
2021-02-16,25048706,1298144.0
2021-03-16,26309389,1260683.0
2021-04-16,27815257,1505868.0
2021-05-16,29052790,1237533.0
2021-06-16,29998382,945592.0
2021-07-16,30932822,934440.0
2021-08-16,31860660,927838.0
2021-09-16,32824539,963879.0
2021-10-16,33822795,998256.0
2021-11-16,34970403,1147608.0
2021-12-16,36237329,1266926.0
2022-01-16,37532471,1295142.0
2022-02-16,38759376,1226905.0
2022-03-16,39913356,1153980.0
2022-04-16,41102166,1188810.0
2022-05-16,42349767,1247601.0
2022-06-16,43747495,1397728.0
2022-07-16,45166288,1418793.0
2022-08-16,46674924,1508636.0
2022-09-16,48168402,1493478.0
2022-10-16,49767232,1598830.0
2022-11-16,51463741,1696509.0
2022-12-16,53171755,1708014.0
2023-01-16,54893193,1721438.0
2023-02-16,56617808,1724615.0
2023-03-16,58139643,1521835.0
2023-04-16,60007477,1867834.0
2023-05-16,62090463,2082986.0
2023-06-16,64922601,2832138.0
2023-07-16,67545516,2622915.0
2023-08-16,70332231,2786715.0
2023-09-16,73357154,3024923.0
2023-10-16,77066713,3709559.0
2023-11-16,81476484,4409771.0
2023-12-16,87012448,5535964.0
2024-01-16,92103601,5091153.0
2024-02-16,97097232,4993631.0
2024-03-16,101836967,4739735.0
2024-04-16,106331119,4494152.0
2024-05-16,110572549,4241430.0
2024-06-16,114693842,4121293.0
2024-07-16,119092161,4398319.0
2024-08-16,123422260,4330099.0
2024-09-16,127641818,4219558.0
2024-10-16,131730637,4088819.0
2024-11-16,136124251,4393614.0
2024-12-16,140317748,4193497.0
2025-01-16,144334577,4016829.0
2025-02-16,148542004,4207427.0
2025-03-16,151846929,3304925.0
2025-04-16,155734935,3888006.0
2025-05-16,159153630,3418695.0
2025-06-16,162692206,3538576.0
2025-07-16,166104892,3412686.0
2025-08-16,169964545,3859653.0
2025-09-16,173604324,3639779.0
2025-10-16,177660946,4056622.0
2025-11-16,181840998,4180052.0
