Date,Likes,Change
"May 21, 2023",5280,0
"May 22, 2023",5280,0
"May 23, 2023",5280,0
"May 24, 2023",5280,0
"May 25, 2023",5281,1
"May 26, 2023",5281,0
"May 27, 2023",5281,0
"May 28, 2023",5281,0
"May 29, 2023",5281,0
"May 30, 2023",5281,0
"May 31, 2023",5281,0
"Jun 1, 2023",5281,0
"Jun 2, 2023",5281,0
"Jun 3, 2023",5281,0
"Jun 4, 2023",5281,0
"Jun 5, 2023",5281,0
"Jun 6, 2023",5282,1
"Jun 7, 2023",5283,1
"Jun 8, 2023",5283,0
"Jun 9, 2023",5283,0
"Jun 10, 2023",5283,0
"Jun 11, 2023",5283,0
"Jun 12, 2023",5283,0
"Jun 13, 2023",5283,0
"Jun 14, 2023",5283,0
"Jun 15, 2023",5284,1
"Jun 16, 2023",5285,1
"Jun 17, 2023",5284,-1
"Jun 18, 2023",5284,0
"Jun 19, 2023",5284,0
"Jun 20, 2023",5284,0
"Jun 21, 2023",5284,0
"Jun 22, 2023",5284,0
"Jun 23, 2023",5284,0
"Jun 24, 2023",5284,0
"Jun 25, 2023",5285,1
"Jun 26, 2023",5285,0
"Jun 27, 2023",5286,1
"Jun 28, 2023",5285,-1
"Jun 29, 2023",5285,0
"Jun 30, 2023",5286,1
"Jul 1, 2023",5288,2
"Jul 2, 2023",5288,0
"Jul 3, 2023",5290,2
"Jul 4, 2023",5289,-1
"Jul 5, 2023",5289,0
"Jul 6, 2023",5288,-1
"Jul 7, 2023",5289,1
"Jul 8, 2023",5289,0
"Jul 9, 2023",5289,0
"Jul 10, 2023",5289,0
"Jul 11, 2023",5289,0
"Jul 12, 2023",5290,1
"Jul 13, 2023",5290,0
"Jul 14, 2023",5290,0
"Jul 15, 2023",5290,0
"Jul 16, 2023",5292,2
"Jul 17, 2023",5292,0
"Jul 18, 2023",5292,0
"Jul 19, 2023",5292,0
"Jul 20, 2023",5292,0
"Jul 21, 2023",5292,0
"Jul 22, 2023",5292,0
"Jul 23, 2023",5291,-1
"Jul 24, 2023",5291,0
"Jul 25, 2023",5291,0
"Jul 26, 2023",5291,0
"Jul 27, 2023",5291,0
"Jul 28, 2023",5291,0
"Jul 29, 2023",5292,1
"Jul 30, 2023",5292,0
"Jul 31, 2023",5292,0
"Aug 1, 2023",5292,0
"Aug 2, 2023",5292,0
"Aug 3, 2023",5291,-1
"Aug 4, 2023",5291,0
"Aug 5, 2023",5291,0
"Aug 6, 2023",5290,-1
"Aug 7, 2023",5290,0
"Aug 8, 2023",5290,0
"Aug 9, 2023",5289,-1
"Aug 10, 2023",5288,-1
"Aug 11, 2023",5288,0
"Aug 12, 2023",5287,-1
"Aug 13, 2023",5287,0
"Aug 14, 2023",5287,0
"Aug 15, 2023",5287,0
"Aug 16, 2023",5287,0
"Aug 17, 2023",5287,0
"Aug 18, 2023",5286,-1
"Aug 19, 2023",5286,0
"Aug 20, 2023",5285,-1
"Aug 21, 2023",5286,1
"Aug 22, 2023",5286,0
"Aug 23, 2023",5286,0
"Aug 24, 2023",5286,0
"Aug 25, 2023",5286,0
"Aug 26, 2023",5286,0
"Aug 27, 2023",5286,0
"Aug 28, 2023",5286,0
"Aug 29, 2023",5287,1
"Aug 30, 2023",5287,0
"Aug 31, 2023",5287,0
"Sep 1, 2023",5287,0
"Sep 2, 2023",5287,0
"Sep 3, 2023",5287,0
"Sep 4, 2023",5287,0
"Sep 5, 2023",5287,0
"Sep 6, 2023",5287,0
"Sep 7, 2023",5287,0
"Sep 8, 2023",5288,1
"Sep 9, 2023",5288,0
"Sep 10, 2023",5288,0
"Sep 11, 2023",5288,0
"Sep 12, 2023",5289,1
"Sep 13, 2023",5289,0
"Sep 14, 2023",5289,0
"Sep 15, 2023",5289,0
"Sep 16, 2023",5289,0
"Sep 17, 2023",5289,0
"Sep 18, 2023",5289,0
"Sep 19, 2023",5289,0
"Sep 20, 2023",5289,0
"Sep 21, 2023",5289,0
"Sep 22, 2023",5289,0
"Sep 23, 2023",5289,0
"Sep 24, 2023",5289,0
"Sep 25, 2023",5289,0
"Sep 26, 2023",5290,1
"Sep 27, 2023",5290,0
"Sep 28, 2023",5290,0
"Sep 29, 2023",5290,0
"Sep 30, 2023",5290,0
"Oct 1, 2023",5290,0
"Oct 2, 2023",5290,0
"Oct 3, 2023",5290,0
"Oct 4, 2023",5290,0
"Oct 5, 2023",5290,0
"Oct 6, 2023",5291,1
"Oct 7, 2023",5291,0
"Oct 8, 2023",5291,0
"Oct 9, 2023",5290,-1
"Oct 10, 2023",5290,0
"Oct 11, 2023",5290,0
"Oct 12, 2023",5290,0
"Oct 13, 2023",5289,-1
"Oct 14, 2023",5290,1
"Oct 15, 2023",5290,0
"Oct 16, 2023",5290,0
"Oct 17, 2023",5290,0
"Oct 18, 2023",5290,0
"Oct 19, 2023",5290,0
"Oct 20, 2023",5290,0
"Oct 21, 2023",5290,0
"Oct 22, 2023",5290,0
"Oct 23, 2023",5289,-1
"Oct 24, 2023",5289,0
"Oct 25, 2023",5289,0
"Oct 26, 2023",5289,0
"Oct 27, 2023",5289,0
"Oct 28, 2023",5289,0
"Oct 29, 2023",5288,-1
"Oct 30, 2023",5288,0
"Oct 31, 2023",5288,0
"Nov 1, 2023",5288,0
"Nov 2, 2023",5288,0
"Nov 3, 2023",5288,0
"Nov 4, 2023",5288,0
"Nov 5, 2023",5288,0
"Nov 6, 2023",5288,0
"Nov 7, 2023",5288,0
"Nov 8, 2023",5288,0
"Nov 9, 2023",5288,0
"Nov 10, 2023",5288,0
"Nov 11, 2023",5289,1
"Nov 12, 2023",5290,1
"Nov 13, 2023",5290,0
"Nov 14, 2023",5290,0
"Nov 15, 2023",5290,0
"Nov 16, 2023",5290,0
"Nov 17, 2023",5290,0
"Nov 18, 2023",5290,0
"Nov 19, 2023",5290,0
"Nov 20, 2023",5290,0
"Nov 21, 2023",5290,0
"Nov 22, 2023",5290,0
"Nov 23, 2023",5290,0
