Date,Spotify Streams,Change
"Nov 27, 2013",0,0.0
"Nov 28, 2013",5919,5919.0
"Nov 29, 2013",11815,5896.0
"Nov 30, 2013",17690,5875.0
"Dec 1, 2013",23543,5853.0
"Dec 2, 2013",29374,5831.0
"Dec 3, 2013",35183,5809.0
"Dec 4, 2013",40971,5788.0
"Dec 5, 2013",46737,5766.0
"Dec 6, 2013",52483,5746.0
"Dec 7, 2013",58207,5724.0
"Dec 8, 2013",63910,5703.0
"Dec 9, 2013",69593,5683.0
"Dec 10, 2013",75255,5662.0
"Dec 11, 2013",80896,5641.0
"Dec 12, 2013",86517,5621.0
"Dec 13, 2013",92117,5600.0
"Dec 14, 2013",97697,5580.0
"Dec 15, 2013",103257,5560.0
"Dec 16, 2013",108797,5540.0
"Dec 17, 2013",114317,5520.0
"Dec 18, 2013",119818,5501.0
"Dec 19, 2013",125299,5481.0
"Dec 20, 2013",130760,5461.0
"Dec 21, 2013",136202,5442.0
"Dec 22, 2013",141625,5423.0
"Dec 23, 2013",147028,5403.0
"Dec 24, 2013",152413,5385.0
"Dec 25, 2013",157778,5365.0
"Dec 26, 2013",163125,5347.0
"Dec 27, 2013",168453,5328.0
"Dec 28, 2013",173763,5310.0
"Dec 29, 2013",179054,5291.0
"Dec 30, 2013",184326,5272.0
"Dec 31, 2013",189580,5254.0
"Jan 1, 2014",194816,5236.0
"Jan 2, 2014",200034,5218.0
"Jan 3, 2014",205234,5200.0
"Jan 4, 2014",210417,5183.0
"Jan 5, 2014",215581,5164.0
"Jan 6, 2014",220728,5147.0
"Jan 7, 2014",225857,5129.0
"Jan 8, 2014",230969,5112.0
"Jan 9, 2014",236063,5094.0
"Jan 10, 2014",241140,5077.0
"Jan 11, 2014",246200,5060.0
"Jan 12, 2014",251243,5043.0
"Jan 13, 2014",256269,5026.0
"Jan 14, 2014",261278,5009.0
"Jan 15, 2014",266271,4993.0
"Jan 16, 2014",271246,4975.0
"Jan 17, 2014",276206,4960.0
"Jan 18, 2014",281148,4942.0
"Jan 19, 2014",286075,4927.0
"Jan 20, 2014",290985,4910.0
"Jan 21, 2014",295878,4893.0
"Jan 22, 2014",300756,4878.0
"Jan 23, 2014",305618,4862.0
"Jan 24, 2014",310464,4846.0
"Jan 25, 2014",315294,4830.0
"Jan 26, 2014",320108,4814.0
"Jan 27, 2014",324907,4799.0
