Date,Popularity,Change
"Sep 23, 2025",11,0
"Sep 24, 2025",39,28
"Sep 25, 2025",44,5
"Sep 26, 2025",44,0
"Sep 27, 2025",48,4
"Sep 28, 2025",48,0
"Sep 29, 2025",47,-1
"Sep 30, 2025",47,0
"Oct 1, 2025",47,0
"Oct 2, 2025",46,-1
"Oct 3, 2025",46,0
"Oct 4, 2025",46,0
"Oct 5, 2025",45,-1
"Oct 6, 2025",45,0
"Oct 7, 2025",45,0
"Oct 8, 2025",45,0
"Oct 9, 2025",44,-1
"Oct 10, 2025",44,0
"Oct 11, 2025",44,0
"Oct 12, 2025",44,0
"Oct 13, 2025",43,-1
"Oct 14, 2025",43,0
"Oct 15, 2025",43,0
"Oct 16, 2025",42,0
"Oct 17, 2025",42,0
"Oct 18, 2025",41,0
"Oct 19, 2025",41,0
"Oct 20, 2025",40,-1
"Oct 21, 2025",40,0
"Oct 22, 2025",39,0
"Oct 23, 2025",39,0
"Oct 24, 2025",38,0
"Oct 25, 2025",38,0
"Oct 26, 2025",38,0
"Oct 27, 2025",38,0
"Oct 28, 2025",37,0
"Oct 29, 2025",37,0
"Oct 30, 2025",36,-1
"Oct 31, 2025",36,0
"Nov 1, 2025",36,0
"Nov 2, 2025",36,0
"Nov 3, 2025",36,0
"Nov 4, 2025",35,0
"Nov 5, 2025",35,0
"Nov 6, 2025",34,-1
"Nov 7, 2025",34,-1
"Nov 8, 2025",33,-1
"Nov 9, 2025",33,0
"Nov 10, 2025",33,0
"Nov 11, 2025",32,-1
"Nov 12, 2025",32,0
"Nov 13, 2025",32,0
"Nov 14, 2025",31,0
"Nov 15, 2025",31,0
"Nov 16, 2025",31,0
"Nov 17, 2025",30,0
"Nov 18, 2025",30,0
"Nov 19, 2025",30,0
"Nov 20, 2025",30,0
"Nov 21, 2025",29,-1
