Date,Likes,Change
"Dec 26, 2024",7865,0
"Dec 27, 2024",7895,30
"Dec 28, 2024",7956,61
"Dec 29, 2024",8017,61
"Dec 30, 2024",8058,41
"Dec 31, 2024",8099,41
"Jan 1, 2025",8140,41
"Jan 2, 2025",8184,44
"Jan 3, 2025",8227,43
"Jan 4, 2025",8271,44
"Jan 5, 2025",8312,41
"Jan 6, 2025",8353,41
"Jan 7, 2025",8394,41
"Jan 8, 2025",8422,28
"Jan 9, 2025",8450,28
"Jan 10, 2025",8478,28
"Jan 11, 2025",8511,33
"Jan 12, 2025",8544,33
"Jan 13, 2025",8577,33
"Jan 14, 2025",8608,31
"Jan 15, 2025",8640,32
"Jan 16, 2025",8671,31
"Jan 17, 2025",8702,31
"Jan 18, 2025",8739,37
"Jan 19, 2025",8776,37
"Jan 20, 2025",8805,29
"Jan 21, 2025",8834,29
"Jan 22, 2025",8859,25
"Jan 23, 2025",8884,25
"Jan 24, 2025",8909,25
"Jan 25, 2025",8933,24
"Jan 26, 2025",8956,23
"Jan 27, 2025",8980,24
"Jan 28, 2025",9009,29
"Jan 29, 2025",9038,29
"Jan 30, 2025",9067,29
"Jan 31, 2025",9087,20
"Feb 1, 2025",9107,20
"Feb 2, 2025",9127,20
"Feb 3, 2025",9146,19
"Feb 4, 2025",9165,19
"Feb 5, 2025",9184,19
"Feb 6, 2025",9221,37
"Feb 7, 2025",9258,37
"Feb 8, 2025",9281,23
"Feb 9, 2025",9304,23
"Feb 10, 2025",9322,18
"Feb 11, 2025",9340,18
"Feb 12, 2025",9358,18
"Feb 13, 2025",9382,24
"Feb 14, 2025",9406,24
"Feb 15, 2025",9430,24
"Feb 16, 2025",9449,19
"Feb 17, 2025",9467,18
"Feb 18, 2025",9486,19
"Feb 19, 2025",9504,18
"Feb 20, 2025",9522,18
"Feb 21, 2025",9540,18
"Feb 22, 2025",9558,18
"Feb 23, 2025",9577,19
"Feb 24, 2025",9597,20
"Feb 25, 2025",9616,19
"Feb 26, 2025",9635,19
"Feb 27, 2025",9653,18
"Feb 28, 2025",9670,17
"Mar 1, 2025",9688,18
"Mar 2, 2025",9705,17
"Mar 3, 2025",9726,21
"Mar 4, 2025",9746,20
"Mar 5, 2025",9770,24
"Mar 6, 2025",9795,25
"Mar 7, 2025",9819,24
"Mar 8, 2025",9835,16
"Mar 9, 2025",9850,15
"Mar 10, 2025",9866,16
"Mar 11, 2025",9881,15
"Mar 12, 2025",9899,18
"Mar 13, 2025",9917,18
"Mar 14, 2025",9935,18
"Mar 15, 2025",9955,20
"Mar 16, 2025",9974,19
"Mar 17, 2025",9994,20
"Mar 18, 2025",10011,17
"Mar 19, 2025",10028,17
"Mar 20, 2025",10045,17
"Mar 21, 2025",10062,17
"Mar 22, 2025",10079,17
"Mar 23, 2025",10096,17
"Mar 24, 2025",10118,22
"Mar 25, 2025",10139,21
"Mar 26, 2025",10155,16
"Mar 27, 2025",10172,17
"Mar 28, 2025",10188,16
"Mar 29, 2025",10204,16
"Mar 30, 2025",10220,16
"Mar 31, 2025",10236,16
"Apr 1, 2025",10253,17
"Apr 2, 2025",10271,18
"Apr 3, 2025",10288,17
"Apr 4, 2025",10305,17
"Apr 5, 2025",10324,19
"Apr 6, 2025",10344,20
"Apr 7, 2025",10363,19
"Apr 8, 2025",10379,16
"Apr 9, 2025",10394,15
"Apr 10, 2025",10402,8
"Apr 11, 2025",10411,9
"Apr 12, 2025",10419,8
"Apr 13, 2025",10433,14
"Apr 14, 2025",10448,15
"Apr 15, 2025",10462,14
"Apr 16, 2025",10474,12
"Apr 17, 2025",10486,12
"Apr 18, 2025",10498,12
"Apr 19, 2025",10501,3
"Apr 20, 2025",10504,3
"Apr 21, 2025",10507,3
"Apr 22, 2025",10509,2
"Apr 23, 2025",10511,2
"Apr 24, 2025",10513,2
"Apr 25, 2025",10515,2
"Apr 26, 2025",10517,2
"Apr 27, 2025",10519,2
"Apr 28, 2025",10519,0
"Apr 29, 2025",10518,-1
"Apr 30, 2025",10518,0
"May 1, 2025",10518,0
"May 2, 2025",10518,0
"May 3, 2025",10517,-1
"May 4, 2025",10517,0
"May 5, 2025",10517,0
"May 6, 2025",10517,0
"May 7, 2025",10516,-1
"May 8, 2025",10515,-1
"May 9, 2025",10515,0
"May 10, 2025",10514,-1
"May 11, 2025",10514,0
"May 12, 2025",10513,-1
"May 13, 2025",10513,0
"May 14, 2025",10512,-1
"May 15, 2025",10512,0
"May 16, 2025",10511,-1
"May 17, 2025",10511,0
"May 18, 2025",10510,-1
"May 19, 2025",10510,0
"May 20, 2025",10510,0
"May 21, 2025",10510,0
"May 22, 2025",10510,0
"May 23, 2025",10510,0
"May 24, 2025",10509,-1
"May 25, 2025",10509,0
"May 26, 2025",10509,0
"May 27, 2025",10508,-1
"May 28, 2025",10506,-2
"May 29, 2025",10505,-1
"May 30, 2025",10505,0
"May 31, 2025",10504,-1
"Jun 1, 2025",10504,0
"Jun 2, 2025",10504,0
"Jun 3, 2025",10503,-1
"Jun 4, 2025",10503,0
"Jun 5, 2025",10502,-1
"Jun 6, 2025",10501,-1
"Jun 7, 2025",10500,-1
"Jun 8, 2025",10501,1
"Jun 9, 2025",10501,0
"Jun 10, 2025",10502,1
"Jun 11, 2025",10502,0
"Jun 12, 2025",10502,0
"Jun 13, 2025",10502,0
"Jun 14, 2025",10501,-1
"Jun 15, 2025",10500,-1
"Jun 16, 2025",10500,0
"Jun 17, 2025",10500,0
"Jun 18, 2025",10500,0
"Jun 19, 2025",10500,0
"Jun 20, 2025",10500,0
"Jun 21, 2025",10500,0
"Jun 22, 2025",10499,-1
"Jun 23, 2025",10499,0
"Jun 24, 2025",10499,0
"Jun 25, 2025",10499,0
"Jun 26, 2025",10499,0
"Jun 27, 2025",10499,0
"Jun 28, 2025",10499,0
"Jun 29, 2025",10498,-1
"Jun 30, 2025",10498,0
"Jul 1, 2025",10498,0
"Jul 2, 2025",10497,-1
"Jul 3, 2025",10497,0
"Jul 4, 2025",10497,0
"Jul 5, 2025",10496,-1
"Jul 6, 2025",10496,0
"Jul 7, 2025",10495,-1
"Jul 8, 2025",10495,0
"Jul 9, 2025",10495,0
"Jul 10, 2025",10495,0
"Jul 11, 2025",10494,-1
"Jul 12, 2025",10493,-1
"Jul 13, 2025",10493,0
"Jul 14, 2025",10493,0
"Jul 15, 2025",10491,-2
"Jul 16, 2025",10489,-2
"Jul 17, 2025",10488,-1
"Jul 18, 2025",10488,0
"Jul 19, 2025",10488,0
"Jul 20, 2025",10487,-1
"Jul 21, 2025",10487,0
"Jul 22, 2025",10487,0
"Jul 23, 2025",10487,0
"Jul 24, 2025",10487,0
"Jul 25, 2025",10486,-1
"Jul 26, 2025",10486,0
"Jul 27, 2025",10486,0
"Jul 28, 2025",10485,-1
"Jul 29, 2025",10485,0
"Jul 30, 2025",10485,0
"Jul 31, 2025",10484,-1
"Aug 1, 2025",10484,0
"Aug 2, 2025",10484,0
"Aug 3, 2025",10483,-1
"Aug 4, 2025",10483,0
"Aug 5, 2025",10483,0
"Aug 6, 2025",10482,-1
"Aug 7, 2025",10482,0
"Aug 8, 2025",10482,0
"Aug 9, 2025",10481,-1
"Aug 10, 2025",10481,0
"Aug 11, 2025",10481,0
"Aug 12, 2025",10480,-1
"Aug 13, 2025",10480,0
"Aug 14, 2025",10480,0
"Aug 15, 2025",10480,0
"Aug 16, 2025",10480,0
"Aug 17, 2025",10480,0
"Aug 18, 2025",10480,0
"Aug 19, 2025",10479,-1
"Aug 20, 2025",10479,0
"Aug 21, 2025",10479,0
"Aug 22, 2025",10479,0
"Aug 23, 2025",10478,-1
"Aug 24, 2025",10477,-1
"Aug 25, 2025",10476,-1
"Aug 26, 2025",10475,-1
"Aug 27, 2025",10474,-1
"Aug 28, 2025",10474,0
"Aug 29, 2025",10474,0
"Aug 30, 2025",10474,0
"Aug 31, 2025",10473,-1
"Sep 1, 2025",10473,0
"Sep 2, 2025",10473,0
"Sep 3, 2025",10473,0
"Sep 4, 2025",10473,0
"Sep 5, 2025",10473,0
"Sep 6, 2025",10472,-1
"Sep 7, 2025",10472,0
"Sep 8, 2025",10472,0
"Sep 9, 2025",10473,1
"Sep 10, 2025",10473,0
"Sep 11, 2025",10473,0
"Sep 12, 2025",10473,0
"Sep 13, 2025",10474,1
"Sep 14, 2025",10474,0
"Sep 15, 2025",10474,0
"Sep 16, 2025",10473,-1
"Sep 17, 2025",10472,-1
"Sep 18, 2025",10471,-1
"Sep 19, 2025",10471,0
"Sep 20, 2025",10471,0
"Sep 21, 2025",10471,0
"Sep 22, 2025",10471,0
"Sep 23, 2025",10471,0
"Sep 24, 2025",10471,0
"Sep 25, 2025",10471,0
"Sep 26, 2025",10470,-1
"Sep 27, 2025",10470,0
"Sep 28, 2025",10470,0
"Sep 29, 2025",10470,0
"Sep 30, 2025",10470,0
"Oct 1, 2025",10470,0
"Oct 2, 2025",10470,0
"Oct 3, 2025",10471,1
"Oct 4, 2025",10471,0
"Oct 5, 2025",10471,0
"Oct 6, 2025",10470,-1
"Oct 7, 2025",10470,0
"Oct 8, 2025",10470,0
"Oct 9, 2025",10470,0
"Oct 10, 2025",10470,0
"Oct 11, 2025",10470,0
"Oct 12, 2025",10470,0
"Oct 13, 2025",10470,0
"Oct 14, 2025",10470,0
"Oct 15, 2025",10470,0
"Oct 16, 2025",10469,-1
"Oct 17, 2025",10469,0
"Oct 18, 2025",10469,0
"Oct 19, 2025",10470,1
"Oct 20, 2025",10470,0
"Oct 21, 2025",10470,0
"Oct 22, 2025",10470,0
"Oct 23, 2025",10470,0
"Oct 24, 2025",10469,-1
"Oct 25, 2025",10469,0
"Oct 26, 2025",10469,0
"Oct 27, 2025",10468,-1
"Oct 28, 2025",10467,-1
"Oct 29, 2025",10467,0
"Oct 30, 2025",10466,-1
"Oct 31, 2025",10466,0
"Nov 1, 2025",10466,0
"Nov 2, 2025",10466,0
"Nov 3, 2025",10466,0
"Nov 4, 2025",10466,0
"Nov 5, 2025",10466,0
"Nov 6, 2025",10466,0
"Nov 7, 2025",10465,-1
"Nov 8, 2025",10465,0
"Nov 9, 2025",10465,0
"Nov 10, 2025",10465,0
"Nov 11, 2025",10465,0
"Nov 12, 2025",10465,0
"Nov 13, 2025",10465,0
"Nov 14, 2025",10466,1
"Nov 15, 2025",10466,0
"Nov 16, 2025",10466,0
"Nov 17, 2025",10466,0
"Nov 18, 2025",10466,0
"Nov 19, 2025",10465,-1
"Nov 20, 2025",10465,0
"Nov 21, 2025",10464,-1
"Nov 22, 2025",10464,0
"Nov 23, 2025",10464,0
"Nov 24, 2025",10464,0
"Nov 25, 2025",10463,-1
"Nov 26, 2025",10463,0
