Date,Total Views,Change
"Dec 13, 2024",0,0
"Dec 14, 2024",66505,66505
"Dec 15, 2024",106170,39665
"Dec 16, 2024",128861,22691
"Dec 17, 2024",144595,15734
"Dec 18, 2024",156461,11866
"Dec 19, 2024",165816,9355
"Dec 20, 2024",173387,7571
"Dec 21, 2024",179612,6225
"Dec 22, 2024",184778,5166
"Dec 23, 2024",189084,4306
"Dec 24, 2024",192675,3591
"Dec 25, 2024",195660,2985
"Dec 26, 2024",198124,2464
"Dec 26, 2024",200133,2009
"Dec 27, 2024",202500,2367
"Dec 28, 2024",206866,4366
"Dec 29, 2024",211231,4365
"Dec 30, 2024",214312,3081
"Dec 31, 2024",217392,3080
"Jan 1, 2025",220473,3081
"Jan 2, 2025",223664,3191
"Jan 3, 2025",226854,3190
"Jan 4, 2025",230045,3191
"Jan 5, 2025",233879,3834
"Jan 6, 2025",237713,3834
"Jan 7, 2025",241547,3834
"Jan 8, 2025",244450,2903
"Jan 9, 2025",247354,2904
"Jan 10, 2025",250257,2903
"Jan 11, 2025",252973,2716
"Jan 12, 2025",255690,2717
"Jan 13, 2025",258406,2716
"Jan 14, 2025",261103,2697
"Jan 15, 2025",263799,2696
"Jan 16, 2025",266496,2697
"Jan 17, 2025",269192,2696
"Jan 18, 2025",272580,3388
"Jan 19, 2025",275968,3388
"Jan 20, 2025",278500,2532
"Jan 21, 2025",281031,2531
"Jan 22, 2025",283227,2196
"Jan 23, 2025",285422,2195
"Jan 24, 2025",287618,2196
"Jan 25, 2025",290023,2405
"Jan 26, 2025",292427,2404
"Jan 27, 2025",294832,2405
"Jan 28, 2025",297238,2406
"Jan 29, 2025",299645,2407
"Jan 30, 2025",302051,2406
"Jan 31, 2025",304247,2196
"Feb 1, 2025",306444,2197
"Feb 2, 2025",308640,2196
"Feb 3, 2025",310718,2078
"Feb 4, 2025",312795,2077
"Feb 5, 2025",314873,2078
"Feb 6, 2025",317476,2603
"Feb 7, 2025",320079,2603
"Feb 8, 2025",322226,2147
"Feb 9, 2025",324372,2146
"Feb 10, 2025",326106,1734
"Feb 11, 2025",327841,1735
"Feb 12, 2025",329575,1734
"Feb 13, 2025",331664,2089
"Feb 14, 2025",333752,2088
"Feb 15, 2025",335841,2089
"Feb 16, 2025",337858,2017
"Feb 17, 2025",339875,2017
"Feb 18, 2025",341892,2017
"Feb 19, 2025",343631,1739
"Feb 20, 2025",345370,1739
"Feb 21, 2025",347108,1738
"Feb 22, 2025",348847,1739
"Feb 23, 2025",350722,1875
"Feb 24, 2025",352598,1876
"Feb 25, 2025",354473,1875
"Feb 26, 2025",356348,1875
"Feb 27, 2025",358200,1852
"Feb 28, 2025",360052,1852
"Mar 1, 2025",361903,1851
"Mar 2, 2025",363755,1852
"Mar 3, 2025",365410,1655
"Mar 4, 2025",367065,1655
"Mar 5, 2025",368881,1816
"Mar 6, 2025",370698,1817
"Mar 7, 2025",372514,1816
"Mar 8, 2025",373938,1424
"Mar 9, 2025",375362,1424
"Mar 10, 2025",376786,1424
"Mar 11, 2025",378210,1424
"Mar 12, 2025",380054,1844
"Mar 13, 2025",381897,1843
"Mar 14, 2025",383741,1844
"Mar 15, 2025",385269,1528
"Mar 16, 2025",386796,1527
"Mar 17, 2025",388324,1528
"Mar 18, 2025",390240,1916
"Mar 19, 2025",392155,1915
"Mar 20, 2025",394071,1916
"Mar 21, 2025",395822,1751
"Mar 22, 2025",397574,1752
"Mar 23, 2025",399325,1751
"Mar 24, 2025",401359,2034
"Mar 25, 2025",403392,2033
"Mar 26, 2025",404900,1508
"Mar 27, 2025",406407,1507
"Mar 28, 2025",407915,1508
"Mar 29, 2025",409385,1470
"Mar 30, 2025",410855,1470
"Mar 31, 2025",412325,1470
"Apr 1, 2025",413881,1556
"Apr 2, 2025",415436,1555
"Apr 3, 2025",416992,1556
"Apr 4, 2025",418547,1555
"Apr 5, 2025",420517,1970
"Apr 6, 2025",422487,1970
