pair_id,event_category,pearson_pair,random_avg,random_ci_low,random_ci_high,uplift_vs_random,n_random_tracks_sampled,n_random_correlations
PAIR001,remake_licensed,0.6591055688961702,0.1534714479379401,0.14014539649486163,0.1654999376986168,0.5056341209582301,30,3900
PAIR002,remake_licensed,0.49140084984643206,0.08023998153974676,0.07227919312250279,0.08786733349900382,0.4111608683066853,30,3900
PAIR004,remake_licensed,-0.136045468619719,0.07207977163356234,0.06264481183867868,0.08140122736286749,-0.20812524025328133,30,3900
PAIR005,ai_melody,0.22921317442584935,0.13910145672068525,0.1273542405383815,0.15063012205829154,0.0901117177051641,30,3900
PAIR006,remake_licensed,0.001283786268332969,-0.054278162200871644,-0.06570086149052155,-0.04346005995836113,0.05556194846920461,30,3900
PAIR007,remix_official,0.25567621269212754,-0.08822484940707084,-0.09799368764181605,-0.0766339169508161,0.34390106209919835,30,3900
PAIR008,remake_licensed,-0.13366881437922667,0.04579971408087609,0.03526742786702043,0.054889420908633836,-0.17946852846010275,30,3900
PAIR009,copy_unauthorized,0.0041690937919474985,0.07733115708006072,0.06877163549858291,0.08695519784780528,-0.07316206328811323,30,3900
PAIR011,copy_unauthorized,-0.0022029382222357834,0.012487865221581566,0.0073515474721766744,0.01839058516202709,-0.01469080344381735,30,3900
PAIR012,inspired,0.38127746993626077,0.07571628556236842,0.06345098786891462,0.08697812801161017,0.30556118437389235,30,3900
PAIR013,remix_official,-0.23909239424710735,0.02021359482965485,0.01570044437054239,0.024326246350743107,-0.2593059890767622,30,3900
PAIR014,ai_melody,-0.26843210316807736,-0.030675637383299717,-0.039339257193893806,-0.020791202710656206,-0.23775646578477766,30,3900
PAIR015,copy_unauthorized,-0.44760137277627277,0.013119709622650282,0.001084896816397892,0.02490681819408053,-0.46072108239892307,30,3900
PAIR016,inspired,0.19603374706200738,0.03890370707863093,0.028936285104553885,0.050535415896368396,0.15713003998337643,30,3900
PAIR018,remix_user,0.28093105958979453,-0.016706137485522347,-0.022722416147890737,-0.010845825342873124,0.2976371970753169,30,3900
PAIR019,remix_user,-0.32907705926715336,0.033684111949739026,0.021016990726776093,0.047304855224636594,-0.3627611712168924,30,3900
PAIR020,remix_user,-0.8199319829424663,0.00928634892959039,-0.005115832565994387,0.023593925687432255,-0.8292183318720566,30,3900
PAIR022,sampling,0.6019273384457017,0.13486562061568066,0.12181751201592711,0.14852508004529577,0.46706171783002104,30,3900
PAIR024,sampling,0.43387881783319193,0.09312802267105665,0.08233646523365327,0.103909358392959,0.3407507951621353,30,3900
PAIR025,sampling,-0.04076320145898484,0.062395846827637894,0.05415025762253464,0.07144021934341811,-0.10315904828662273,30,3900
